"Mots";"Occurrence"
"";"146"
"Other input";"1"
"SCP";"1"
"Subshells";"1"
"Diff";"1"
"DocBook";"1"
"Memory";"5"
"Case-sensitive";"1"
"RSA-EXPORT (insecure)[34]";"1"
"Linked Open Data?";"1"
"Membership-only categories";"1"
"HTML catalog";"1"
"IP destination address(es)";"1"
"Compositing";"1"
"ECDH-RSA[81]";"1"
"Customize margins";"1"
"Novial";"5"
"Birth control method";"1"
"user manager";"1"
"Research Guidance";"1"
"GDP(Billions of int$)";"1"
"Statements ratio[41]";"1"
"Datatypes";"1"
"SDP";"1"
"Server side: all free software";"1"
"LDAP integration";"1"
"#";"1"
"Exception handling";"1"
"Windows Media Player";"1"
"*";"1"
"Internal Storage";"1"
"Google Docs";"1"
"Console redirection";"1"
"-";"2"
"Screen mirroring";"1"
"0";"4"
"USAePay";"1"
"Spell checker";"1"
"386BSD";"1"
"Raster/ vector";"1"
"Tested software version";"1"
"RTF scan[30]";"1"
"Codec used to encode the video";"1"
"DVD equivalent";"1"
"RSS enclosure";"1"
"Image enlarge";"1"
"Inbound firewall (ingress)";"1"
"Armour thickness (front/side/top)";"1"
"Arc recognition";"1"
"Link to Product Page";"1"
"Indonesian";"23"
"Purchase platform";"1"
"HCRP";"1"
"SFN";"1"
"Linux Kernel";"1"
"Directory";"1"
"Clock speed";"1"
"Version control system support";"1"
"a";"3"
"b";"2"
"Ace";"1"
"JScript";"1"
"c";"1"
"Mobi- Pocket";"1"
"d";"1"
"Network Name";"1"
"e";"2"
"Sample rate";"3"
"f";"1"
"g";"1"
"h";"2"
"POSIX file permissions";"1"
"i";"2"
"j";"1"
"Rank";"3"
"Intent";"1"
"System V FS";"1"
"k";"2"
"Stored procedures";"1"
"l";"2"
"Scriptable";"1"
"m";"2"
"Native UTF-8 support[Note 1]";"1"
"n";"2"
"o";"2"
"Introduced in";"2"
"p";"2"
"Red";"1"
"r";"1"
"s";"2"
"t";"2"
"Ebike Max Power";"1"
"Latest version (release date)";"1"
"u";"2"
"Other/Notes";"1"
"v";"1"
"CMTP";"1"
"z";"1"
"Download in high definition";"1"
"SCSI";"1"
"WPA2";"2"
"OpenBSD";"2"
"RSS 0.91 Feeds";"1"
"DLNA support";"1"
"<string>.split(separator[, limit]) splits a string on separator, optionally only up to a limited number of substrings";"1"
"A-B repeat";"1"
"BFS";"2"
"NMDC compatible";"1"
"APEv2 tag";"1"
"Remarks";"1"
"Standalone or bundled into a larger toolkit";"1"
"Internet Explorer";"1"
"color management (ICC)";"1"
"Instruction encoding";"1"
"Enable/Disable hyphenation";"1"
"Intel AES-NI";"1"
"Mac OS (X)";"1"
"others";"1"
"Unicode";"2"
"FDPIC ELF binaries (mmu less)";"1"
"FTP upload possible?";"1"
"HTTP";"3"
"Renames or moves";"1"
"Native Anti Hammer - Brute-force attack protection";"1"
"Video";"3"
"Kernel thread support";"1"
"OpenSSL engine";"1"
"Polyline";"1"
"TFVC";"2"
"2009[161]";"1"
"SIT";"1"
"Free disk space";"1"
"Keywords";"1"
"Form";"1"
"Rocket";"1"
"Integrated environment";"1"
"Discontinued date";"1"
"Btrfs";"1"
"Variable frame rate";"1"
"Directory comparison";"1"
"First release";"14"
"Production date";"1"
"Crackle";"1"
"BSDs";"1"
"C++";"5"
"Office suite";"8"
"ã";"1"
"Vibration";"1"
"CMYK";"1"
"XML diff/merge";"1"
"Latest stable release";"24"
"SCTP";"1"
"Organizing principle(s)";"1"
"NMDC Client";"1"
"Queue type";"1"
"Vector graphics editor";"1"
"CBC w/ predictable IVs";"1"
"Production cost";"5"
"Underlying theory (symbolic, connectionist, or hybrid)";"1"
"right(string,n) returns string";"1"
"Pipes";"1"
"Virtual machine";"2"
"ĉ";"1"
"SLD";"1"
"Range (mi)";"2"
"Self extraction";"1"
"SLI";"5"
"Downloadable without paying?";"1"
"Recursive globbing (generating files from any level of subdirectories)";"1"
"Attachments[i]";"1"
"Used by";"1"
"Typical output";"1"
"TCP/IP";"1"
"ĝ";"1"
"Vector combine";"1"
"Windows 10";"1"
"On-demand scan";"10"
"Aim";"1"
"ĥ";"1"
"Variant name";"1"
"ĩ";"1"
"Transpose";"1"
"Made in D";"1"
"Data relay satellites";"1"
"VMAC";"1"
"Indonesian syllabification";"1"
"ĵ";"1"
"Insert/delete bytes";"1"
"Taxation";"1"
"Intended purpose";"1"
"USB 1.1";"1"
"RTL Support[Note 12]";"1"
"CodePress";"1"
"Unlimited BW 16";"1"
"Subscription free electronic program guide (EPG)";"1"
"Checkout by Amazon";"1"
"Usual environment";"1"
"generated diagrams";"1"
"External hard drive support14";"1"
"ŝ";"1"
"Reiser4";"1"
"Transport Layer Security";"1"
"Indexed file search";"1"
"Supports OpenSSH authorized keys";"1"
"BMP";"2"
"Custom functions";"1"
"Date/Time";"1"
"AVI[A]";"1"
"Main user interface type";"1"
"ŭ";"1"
"Seatbelt required";"1"
"Certificate Status Request [173]";"1"
"Peak elevation (ft)";"2"
"Initial public release";"1"
"File Name [D 1]";"1"
"Theme";"1"
"Thrust (Vac.)";"1"
"Animation";"1"
"BND";"1"
"Lieutenant Governor";"1"
"Guest account";"1"
"Estonia";"9"
"CMS extension";"1"
"Clock rate";"1"
"Network protocols";"2"
"Skiable acreage";"2"
"SPD";"1"
"SPC";"1"
"SPF";"1"
"Video interface";"1"
"10 Gigabit Ethernet";"1"
"Hibernation file";"1"
">9 indexable captures";"1"
"Hardware acceleration";"1"
"WMA-DRM";"1"
"Curve1174 [154]";"1"
"Amazon FPS";"1"
"Image Quality";"1"
"Apache Derby";"1"
"Macro protection";"1"
"Automatic heartbeat pings";"1"
"Output size (bits)";"1"
"Runs on Windows?";"2"
"APIs";"3"
"Private repository";"1"
"Redirect TCP/UDP ports (port forwarding)";"1"
"iPod touch/iPhone Firmware up to 1.1.4";"1"
"Android";"33"
"SQL";"1"
"Text user interface";"1"
"grsecurity";"1"
"Openfiler";"1"
"Connectivity";"3"
"Row";"1"
"Purple (DDCD)";"1"
"Preprocessing, Compilation and Packaging";"1"
"NAT[a]";"1"
"Usually invoked";"1"
"Max. memory";"2"
"Afrikaans";"3"
"DVB (T/T2, S/S2, C) tuner support";"1"
"Function";"1"
"RSS 2.0 Feeds";"1"
"Headphone-free sessions";"1"
"Vertical (feet)";"1"
"Specific impulse";"1"
"physical media restore9";"1"
"Vevo";"1"
"ZIP support";"1"
"Release year";"3"
"Security updates (years)";"1"
"Export, portability";"1"
"ECDHE-ECDSA (forward secrecy)[81]";"1"
"XSLT";"1"
"NT 3.x";"1"
"Point";"1"
"Plugin support";"4"
"Shows combined Size of Selected Directories";"1"
"SSL";"2"
"SSO";"1"
"Truncated HMAC [173]";"1"
"Array";"3"
"BitTorrent client";"4"
"Sound Codec";"1"
"Tray notification";"1"
"Search as user types";"1"
"Multi-column mode";"1"
"Offline grow";"1"
"Voice and Data at the same time";"1"
"Edge";"1"
"Frame rate (Hz)";"1"
"Maximum number of SCSI + IDE disks per VM guest";"1"
"GUI based design";"1"
"Tone name";"1"
"Space observatories";"1"
"BSD";"27"
"Comcast Xfinity";"1"
"Bloomberg";"1"
"3.1x";"1"
"SQLite";"3"
"Copy on write";"1"
"XSPF";"1"
"Spline curves";"1"
"Malaysian";"19"
"Color correction";"1"
"Client-side encryption[1]";"1"
"DjVu";"1"
"API (remote management functions)";"1"
"Coda";"1"
"Database backend";"1"
"eDonkey";"1"
"Internal snapshotting / branching";"1"
"Technology Parameter";"1"
"""+"" quantifier";"1"
"Short description";"1"
"SVD";"1"
"MSRP";"1"
"JPEG 2000";"1"
"HD Photo";"1"
"Highlight";"2"
"SVG";"4"
"SVN";"2"
"Desktop support";"1"
"Union";"1"
"Network Compatibility";"1"
"APOP";"1"
"Sweden";"9"
"GUI default is on[t 1]";"1"
"ɔ";"1"
"NT 4.0";"1"
"ə";"1"
"Residents association";"1"
"Functional programming";"1"
"ArXiv";"1"
"Verizon FiOS";"1"
".html";"2"
"2013[165]";"1"
"ɡ";"1"
"SWF";"1"
"Snowfall (in/year)";"1"
"BirdEye";"1"
"KGB";"2"
"ɨ";"1"
"Serverless 6 (decentralized)";"1"
"ClientHello Padding [182]";"1"
"Faceted classification";"1"
"Java generated byte code";"1"
"CAST-256";"1"
"Endnote/Refer/BibIX";"2"
"Subversion";"2"
"Multi-tracker index";"1"
"Maximum host memory";"1"
"Mapper";"1"
"Passive DCC";"2"
"Search";"4"
"EditArea";"1"
"Slovenia";"9"
"HDR format";"1"
"MXP[22]";"1"
"Object-oriented";"3"
"In orbit";"1"
"Book file search";"1"
"Moldova";"2"
"iCab";"9"
"Watch ESPN";"1"
"DVD+R/RW";"1"
"Full duplex transfer";"2"
"Pedigree view";"1"
"secp256r1 prime256v1 NIST P-256 (23)[81]";"1"
"other special file system features";"1"
"Italian";"2"
"Audit API";"1"
"Checksum/ ECC";"1"
"Vimeo";"1"
"Still Supported";"1"
"Integration with Add-on Components or Products";"1"
"Extensions";"1"
"Variable bit rate audio";"1"
"Save searches [D 6]";"1"
"Intel SHA";"1"
"Second Screen";"1"
