"System";"Form based";"Public key cryptography";"Two-factor";"OpenID";"OAuth";"LDAP";"Shibboleth";"Others"
"Apache Bloodhound";"Yes";"Optional[90]";"No";"Optional[91]";"No";"Yes";"Unknown";"No"
"Assembla Tickets";"Yes";"No";"No";"Yes";"Yes";"Yes (private version)";"Unknown";"Unknown"
"Axosoft";"Yes";"No";"No";"No";"No";"Yes";"No";"No"
"Bugzilla";"Yes";"No";"No";"Optional[92]";"No";"Yes";"Unknown";"No"
"Debbugs";"No";"No";"No";"No";"No";"No";"No";"No"
"Faveo Helpdesk";"Yes";"No";"No";"No";"Yes";"Yes";"No";"No"
"FogBugz";"Yes";"Unknown";"Unknown";"Unknown";"Unknown";"Yes";"Unknown";"Unknown"
"Fossil";"Unknown";"Unknown";"Unknown";"Unknown";"Unknown";"No";"Unknown";"Unknown"
"FusionForge";"Yes";"No";"No";"Yes";"No";"Yes";"No";"Yes, CAS"
"GLPI";"Yes";"No";"Yes";"No";"No";"Yes";"No";"No"
"GNATS";"Unknown";"Unknown";"Unknown";"Unknown";"Unknown";"No";"Unknown";"Unknown"
"HP Quality Center";"No";"No";"No";"No";"No";"Yes";"No";"Unknown"
"Jira";"Yes";"No";"No";"Yes";"Yes";"Yes";"Yes, via plugin[93][94]";"Yes, via Crowd[95]"
"MantisBT";"Yes";"No";"No";"Yes[96]";"Yes[97]";"Yes";"Unknown";"No"
"Microsoft Dynamics CRM";"Unknown";"Unknown";"Unknown";"Unknown";"Unknown";"Yes";"Unknown";"Unknown"
"org-mode";"Unknown";"Unknown";"Unknown";"Unknown";"Unknown";"No";"Unknown";"Unknown"
"OTRS";"Yes";"Yes";"Yes";"Unknown";"Unknown";"Yes";"Unknown";"Unknown"
"Phabricator";"Yes";"No";"Yes";"No";"Yes";"Yes";"No";"No"
"Pivotal Tracker";"Yes";"No";"No";"Yes, Google Account";"No";"No";"No";"No"
"Redmine";"Yes";"Yes[98]";"No";"Yes[99]";"No";"Yes";"Yes, via Apache (using mod_rails)";"No"
"Request Tracker";"Yes";"Unknown";"Unknown";"Yes[100]";"Unknown";"Yes[101]";"Unknown";"Yes[102]"
"Roundup";"Yes";"Unknown";"Unknown";"Yes[103]";"Unknown";"Yes";"Yes[104]";"Yes[105]"
"StarTeam";"Unknown";"Unknown";"Unknown";"Unknown";"Unknown";"No";"Unknown";"Unknown"
"Supportworks";"Unknown";"Unknown";"Unknown";"Unknown";"Unknown";"Yes";"Unknown";"Unknown"
"SysAid";"Yes";"No";"No";"No";"No";"Yes";"No";"Yes, CAS"
"Team Foundation Server";"Unknown";"Unknown";"Unknown";"Unknown";"Unknown";"Yes";"Unknown";"Unknown"
"TestTrack";"Yes";"Optional";"No";"No";"No";"Yes";"No";"Yes - custom DLL"
"Trac";"Yes";"Optional[90]";"No";"Optional[91]";"No";"Yes";"Unknown";"No"
"TrackerSuite.Net";"Yes";"No";"No";"No";"No";"Yes";"No";"No"
"Tuleap";"Yes";"No";"No";"Yes";"Yes";"Yes";"No";"No"
"Twproject";"Yes";"Unknown";"Unknown";"Unknown";"Unknown";"Yes";"Unknown";"Yes, Simple container auth."
"Wrike";"Unknown";"Unknown";"Unknown";"Unknown";"Unknown";"Yes";"Unknown";"Unknown"
"YouTrack";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"Unknown";"Yes: JIRA account"
"Zammad";"Yes";"No";"No";"No";"Yes";"Yes";"Yes";"Yes: Twitter, Facebook, Google, Microsoft 365"
"System";"Form based";"Public key cryptography";"Two-factor";"OpenID";"OAuth";"LDAP";"Shibboleth";"Others"
